Compound,Privat_CH3,Privat_CH2,Privat_CH,Privat_C,Privat_CH4,Privat_C2H6,Privat_CarH,Privat_Car,Privat_Cfused,Privat_cCH2,Privat_cCH,Privat_CO2,Privat_N2,Privat_H2S,Privat_SH,%
,(--),(--),(--),(--),(--),(--),(--),(--),(--),(--),(--),(--),(--),(--),(--),%
,,,,,,,,,,,,,,,,%
hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
oxygen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
nitrogen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
carbon_dioxide,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
carbon_monoxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hydrogen_sulfide,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
sulfure_dioxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
argon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
methane,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
ethane,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
propane,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
isobutane,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
n-butane,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
isopentane,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
n-pentane,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
neopentane,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
n-hexane,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2-methylpentane,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
3-methylpentane,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
neohexane,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
2-3-dimethylbutane,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
n-heptane,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
benzene,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,
toluene,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,
ethylbenzene,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,
n-decane,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,